,mouse,UNinvCount,Cluster_0,Cluster_1,Cluster_2,Cluster_3,totalCount,UNinvCount_percent,Cluster_0_percent,Cluster_1_percent,Cluster_2_percent,Cluster_3_percent,condition,CS,CS_bin_0Low_1mid_2high
0,403,171378,137,0,0,210,171725,99.79793274,0.079778716,0,0,0.122288543,3,0,0
1,407,221707,17559,33,730,178,240207,92.29830937,7.309945172,0.013738151,0.303904549,0.074102753,3,0,0
2,386,218301,391,0,0,768,219460,99.47188554,0.178164586,0,0,0.349949877,3,0,0
3,751,58148,12603,32362,291,91158,194562,29.88661712,6.477626669,16.63325829,0.149566719,46.8529312,2,11,2
4,324,58066,30925,380,13880,41,103292,56.21538938,29.93939511,0.367889091,13.43763312,0.039693297,0,4,1
5,488,44960,54880,10499,34063,9,144411,31.13336242,38.00264523,7.270221798,23.58753835,0.006232212,0,12,2
6,763,167206,4174,28,73,433,171914,97.26142141,2.427958165,0.016287213,0.042463092,0.251870121,3,,
7,340,180899,1383,0,0,16,182298,99.23257523,0.758647928,0,0,0.008776838,3,,
8,759,155487,4325,90,8,4926,164836,94.32830207,2.623820039,0.054599723,0.004853309,2.988424859,3,,
9,781,180123,4627,226,8,156,185140,97.2901588,2.499189802,0.122069785,0.004321054,0.08426056,3,,
10,330,229636,3134,3,66,833,233672,98.27279263,1.341196207,0.001283851,0.028244719,0.356482591,3,,
11,773,195417,3543,98,0,2864,201922,96.77845901,1.754637929,0.048533592,0,1.418369469,3,,
12,762,185337,21347,88,626,2235,209633,88.41022167,10.18303416,0.041978124,0.298617107,1.066148936,3,,
13,21,213359,34616,590,500,81,249146,85.63613303,13.89386143,0.236808939,0.200685542,0.032511058,3,1,0
14,16,72392,34732,48882,2626,942,159574,45.36578641,21.76545051,30.63280986,1.645631494,0.590321732,1,7,1
15,770,139224,2700,932,0,2776,145632,95.59986816,1.853988134,0.639969238,0,1.906174467,3,0,0
16,53,14810,86667,54131,74777,851,231236,6.404712069,37.47989067,23.40941722,32.33795776,0.36802228,0,8,2
17,477,170713,1568,135,17,20,172453,98.99102944,0.90923324,0.078282199,0.009857758,0.011597363,3,0,0
18,326,68000,32053,1857,207,63,102180,66.54922685,31.36915248,1.817381092,0.202583676,0.061655901,0,7,1
19,325,8282,33770,18586,5274,0,65912,12.5652385,51.23497997,28.19820367,8.001577861,0,0,11,2
20,52,97364,93128,16345,2951,110,209898,46.38634003,44.36821694,7.787115647,1.405920971,0.052406407,0,0,0
21,341,197952,908,0,26,291,199177,99.38496915,0.455875929,0,0.013053716,0.146101206,3,,
22,783,50004,33922,25729,3813,431,113899,43.90205357,29.78252662,22.58931158,3.347702789,0.378405429,1,,
23,508,199222,1186,0,0,391,200799,99.21463752,0.590640392,0,0,0.194722085,3,,
24,511,27746,58182,2081,95419,18,183446,15.12488689,31.71614535,1.134393773,52.01476184,0.009812152,0,9,2
25,329,164008,1700,0,0,76,165784,98.92872654,1.025430681,0,0,0.045842783,3,,
26,291,81485,33575,32782,18647,2999,169488,48.07715,19.80966204,19.34178231,11.00195884,1.769446804,2,4,1
27,405,194349,32960,1765,1444,1010,231528,83.94189904,14.23585916,0.762326803,0.623682665,0.436232335,3,0,0
28,752,144291,14672,17518,118,32945,209544,68.85952354,7.001870729,8.360058031,0.056312755,15.72223495,2,12,2
29,713,248346,7221,75,16,656,256314,96.891313,2.817247595,0.029260985,0.006242343,0.255936078,3,2,0
30,512,134844,18674,960,1052,0,155530,86.69967209,12.00668681,0.617244262,0.676396837,0,0,1,0
31,322,143266,1335,0,0,808,145409,98.52622602,0.91809998,0,0,0.555673995,3,2,0
32,323,141492,215,4,0,17,141728,99.83348386,0.151699029,0.002822308,0,0.011994807,3,3,1
33,55,162001,7429,51,2,526,170009,95.28966114,4.369768659,0.029998412,0.001176408,0.309395385,3,1,0
34,14,112681,30100,44567,5367,4290,197005,57.19702546,15.27880003,22.62226847,2.724296338,2.177609705,1,7,1
35,771,206625,3947,287,0,133,210992,97.93025328,1.87068704,0.136024115,0,0.063035565,3,,
36,336,151481,1502,2,1,52,153038,98.98260563,0.981455586,0.001306865,0.000653432,0.033978489,3,,
37,475,145207,173,0,0,683,146063,99.41395151,0.118442042,0,0,0.467606444,3,0,0
38,406,210890,13789,611,1350,2166,228806,92.16978576,6.026502801,0.267038452,0.590019492,0.946653497,3,1,0
39,784,37450,14580,14703,2002,423,69158,54.15136354,21.08215969,21.2600133,2.894820556,0.611642905,1,,
40,383,138000,572,1,4,1509,140086,98.51091472,0.408320603,0.000713847,0.002855389,1.077195437,3,0,0
41,821,123938,1727,3,22,852,126542,97.9421852,1.364764268,0.002370754,0.017385532,0.673294242,3,,
42,17,95327,57916,43053,6611,1262,204169,46.69024191,28.36669622,21.08694268,3.238003811,0.618115385,1,8,2
43,872,198229,741,2,1,32,199005,99.61006005,0.372352453,0.001005,0.0005025,0.016079998,3,,
44,387,221626,1730,0,5,8,223369,99.21967686,0.774503176,0,0.002238448,0.003581518,3,0,0
45,714,228999,7755,267,20,285,237326,96.49132417,3.267657147,0.112503476,0.008427227,0.12008798,3,0,0
46,339,188400,36164,0,32,188,224784,83.81379458,16.08833369,0,0.014235889,0.083635846,3,,
47,749,123932,5356,11492,583,38830,180193,68.77736649,2.972368516,6.377606233,0.32354198,21.54911678,2,7,1
